label_id	filename	DMVs	Virions	DMS	connectors	zER	Fused DMVs	Peroxisomes	Golgi	ERGIC	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z
15.0	lm0064_1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	14.975496	4.917048000000006	0.1511260000000001	13.411264	3.352816	0.012464	16.539728	6.481280000000001	0.28978800000000005
16.0	lm0065_1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	18.328312	4.917048000000003	0.1511259999999999	16.76408	3.352816	0.0	19.892544	6.481280000000001	0.302252
17.0	lm0066_1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	21.681128	4.917048000000005	0.15112600000000015	20.116896	3.352816	0.012464	23.24536	6.481280000000001	0.28978800000000005
18.0	lm0067_1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	25.033944	4.917048000000007	0.151126	23.469712	3.352816	0.0062320000000000006	26.598176	6.481280000000001	0.29602
19.0	lm0074_1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	28.386759999999995	4.917048000000005	0.1511260000000003	26.822528	3.352816	0.012464	29.950992000000006	6.481280000000001	0.28978800000000005
20.0	lm0077_1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	31.739576000000003	4.917048000000007	0.15112599999999995	30.175344000000006	3.352816	0.012464	33.303808000000004	6.481280000000001	0.28978800000000005
21.0	lm0080_1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1.5642319999999998	8.269864	0.1511260000000003	0.0	6.7056320000000005	0.028044000000000003	3.128464	9.834096	0.274208
22.0	lm0090_1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	4.917047999999995	8.269864	0.15112599999999995	3.352816	6.7056320000000005	0.0062320000000000006	6.481280000000001	9.834096	0.29602
23.0	lm0097_1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	8.269863999999988	8.269864000000002	0.15112599999999995	6.7056320000000005	6.7056320000000005	0.0031160000000000003	9.834096	9.834096	0.299136
24.0	lm0099_1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	11.622680000000004	8.269864000000004	0.1511260000000001	10.058448	6.7056320000000005	0.015580000000000004	13.186912	9.834096	0.28667200000000004
25.0	lm0107_1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	14.975496000000007	8.269864000000005	0.151126	13.411264	6.7056320000000005	0.021812	16.539728	9.834096	0.28044
26.0	lm0107_2	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	18.328312000000004	8.269863999999998	0.1511259999999998	16.76408	6.7056320000000005	0.021812	19.892544	9.834096	0.28044
27.0	lm0115_1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	21.681128	8.269864000000004	0.1511260000000002	20.116896	6.7056320000000005	0.028044000000000003	23.24536	9.834096	0.274208
28.0	lm0116_1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	25.033944	8.269864	0.1511260000000003	23.469712	6.7056320000000005	0.028044000000000003	26.598176	9.834096	0.274208
29.0	lm0130_1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	28.386759999999992	8.269864	0.15112600000000018	26.822528	6.7056320000000005	0.012464	29.950992000000006	9.834096	0.28978800000000005
30.0	lm0139_2	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	31.739576000000003	8.269864000000009	0.1511260000000001	30.175344000000006	6.7056320000000005	0.0062320000000000006	33.303808000000004	9.834096	0.29602
31.0	lm0140_1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1.564232	11.622680000000004	0.1511260000000001	0.0	10.058448	0.012464	3.128464	13.186912	0.28978800000000005
32.0	lm0144_1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	4.9170479999999985	11.62268	0.15112600000000018	3.352816	10.058448	0.012464	6.481280000000001	13.186912	0.28978800000000005
33.0	lm0150_1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	8.269863999999991	11.62268	0.151126	6.7056320000000005	10.058448	0.021812	9.834096	13.186912	0.28044
34.0	lm0151_1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	11.622680000000004	11.62268	0.151126	10.058448	10.058448	0.015580000000000004	13.186912	13.186912	0.28667200000000004
35.0	lm0151_2	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	14.975496000000005	11.62268	0.15112600000000004	13.411264	10.058448	0.012464	16.539728	13.186912	0.28978800000000005
36.0	lm0155_1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	18.328312	11.62268	0.15112600000000007	16.76408	10.058448	0.015580000000000004	19.892544	13.186912	0.28667200000000004
37.0	lm0155_2	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	21.681128	11.62268	0.15112599999999984	20.116896	10.058448	0.031160000000000007	23.24536	13.186912	0.271092
38.0	lm0155_3	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	25.033944	11.62268	0.15112599999999998	23.469712	10.058448	0.021812	26.598176	13.186912	0.28044
39.0	lm0170_1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	28.386759999999995	11.62268	0.151126	26.822528	10.058448	0.021812	29.950992000000006	13.186912	0.28044
40.0	lm0173_1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	31.739576000000003	11.62268	0.15112599999999987	30.175344000000006	10.058448	0.015580000000000004	33.303808000000004	13.186912	0.28667200000000004
41.0	lm0201_1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1.564232	14.975496000000005	0.1511260000000001	0.0	13.411264	0.0062320000000000006	3.128464	16.539728	0.29602
42.0	lm0202_1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	4.917047999999995	14.975495999999998	0.15112600000000004	3.352816	13.411264	0.0062320000000000006	6.481280000000001	16.539728	0.29602
43.0	lm0207_1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	8.269863999999991	14.975496	0.15112600000000007	6.7056320000000005	13.411264	0.021812	9.834096	16.539728	0.28044
44.0	lm0207_2	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	11.62268	14.975496	0.15112599999999993	10.058448	13.411264	0.021812	13.186912	16.539728	0.28044
45.0	lm0212_1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	14.975496000000007	14.975495999999998	0.15112599999999987	13.411264	13.411264	0.015580000000000004	16.539728	16.539728	0.28667200000000004
46.0	lm0218_1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	18.328312	14.975496	0.15112599999999982	16.76408	13.411264	0.021812	19.892544	16.539728	0.28044
47.0	lm0219_1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	21.681128	14.975495999999994	0.15112599999999984	20.116896	13.411264	0.015580000000000004	23.24536	16.539728	0.28667200000000004
48.0	lm0219_2	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	25.033944	14.975495999999998	0.151126	23.469712	13.411264	0.0062320000000000006	26.598176	16.539728	0.29602
49.0	lm0274_1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	28.386759999999995	14.975496	0.1511260000000001	26.822528	13.411264	0.0062320000000000006	29.950992000000006	16.539728	0.29602
50.0	lm0274_2	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	31.73957600000001	14.975496000000005	0.15112600000000004	30.175344000000006	13.411264	0.0062320000000000006	33.303808000000004	16.539728	0.29602
51.0	lm0297_1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1.564232	18.328312	0.15112599999999987	0.0	16.76408	0.021812	3.128464	19.892544	0.28044
52.0	lm0304_1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	4.917047999999996	18.328312	0.15112599999999987	3.352816	16.76408	0.021812	6.481280000000001	19.892544	0.28044
53.0	lm0306_1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	8.269863999999991	18.328312	0.1511260000000001	6.7056320000000005	16.76408	0.015580000000000004	9.834096	19.892544	0.28667200000000004
54.0	lm0314_1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	11.622680000000004	18.328312	0.15112600000000007	10.058448	16.76408	0.015580000000000004	13.186912	19.892544	0.28667200000000004
55.0	lm0315_1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	14.975496	18.328312	0.15112599999999987	13.411264	16.76408	0.021812	16.539728	19.892544	0.28044
56.0	lm0316_1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	18.328312	18.328312	0.15112599999999965	16.76408	16.76408	0.021812	19.892544	19.892544	0.28044
57.0	lm0318_1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	21.681128	18.328312	0.15112599999999982	20.116896	16.76408	0.021812	23.24536	19.892544	0.28044
58.0	lm0318_2	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	25.033944	18.328312	0.15112600000000007	23.469712	16.76408	0.028044000000000003	26.598176	19.892544	0.274208
59.0	lm0318_3	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	28.386759999999995	18.328312000000007	0.15112600000000018	26.822528	16.76408	0.028044000000000003	29.950992000000006	19.892544	0.274208
60.0	lm0362_1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	31.739576000000003	18.328312000000007	0.15112599999999987	30.175344000000006	16.76408	0.021812	33.303808000000004	19.892544	0.28044
61.0	lm0368_1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1.564232	21.681128	0.15112600000000004	0.0	20.116896	0.012464	3.128464	23.24536	0.28978800000000005
62.0	lm0374_1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	4.917047999999996	21.681128	0.15112600000000015	3.352816	20.116896	0.012464	6.481280000000001	23.24536	0.28978800000000005
63.0	lm0374_2	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	8.269863999999991	21.681128	0.15112599999999995	6.7056320000000005	20.116896	0.021812	9.834096	23.24536	0.28044
64.0	lm0375_1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	11.62268	21.681128	0.1511260000000001	10.058448	20.116896	0.028044000000000003	13.186912	23.24536	0.274208
65.0	lm0375_2	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	14.975495999999998	21.681128	0.15112599999999987	13.411264	20.116896	0.015580000000000004	16.539728	23.24536	0.28667200000000004
66.0	lm0389_1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	18.328312000000007	21.681128	0.15112599999999982	16.76408	20.116896	0.021812	19.892544	23.24536	0.28044
67.0	lm0408_1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	21.681128	21.681128	0.15112599999999995	20.116896	20.116896	0.015580000000000004	23.24536	23.24536	0.28667200000000004
68.0	lm0416_1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	25.033944	21.681128	0.151126	23.469712	20.116896	0.0062320000000000006	26.598176	23.24536	0.29602
69.0	lm0421_1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	28.38676000000001	21.681128	0.1511260000000001	26.822528	20.116896	0.015580000000000004	29.950992000000006	23.24536	0.28667200000000004
70.0	lm0421_2	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	31.739576	21.681128	0.15112599999999987	30.175344000000006	20.116896	0.012464	33.303808000000004	23.24536	0.28978800000000005
71.0	lm0441_1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1.5642319999999998	25.033944	0.1511260000000001	0.0	23.469712	0.021812	3.128464	26.598176	0.28044
72.0	lm0451_1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	4.9170479999999985	25.033944	0.15112600000000018	3.352816	23.469712	0.012464	6.481280000000001	26.598176	0.28978800000000005
73.0	lm0451_2	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	8.269863999999991	25.033944	0.1511260000000001	6.7056320000000005	23.469712	0.012464	9.834096	26.598176	0.28978800000000005
74.0	lm0458_1	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	11.62268	25.033944	0.15112599999999998	10.058448	23.469712	0.021812	13.186912	26.598176	0.28044
75.0	lm0466_1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	14.975495999999998	25.033944	0.151126	13.411264	23.469712	0.015580000000000004	16.539728	26.598176	0.28667200000000004
76.0	lm0511_1	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	18.328312	25.033944	0.1511260000000001	16.76408	23.469712	0.015580000000000004	19.892544	26.598176	0.28667200000000004
77.0	lm0520_1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.681128	25.033944	0.15112600000000007	20.116896	23.469712	0.015580000000000004	23.24536	26.598176	0.28667200000000004
78.0	lm0520_2	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	25.033944	25.033944	0.15112599999999987	23.469712	23.469712	0.021812	26.598176	26.598176	0.28044
79.0	lm0608_1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	28.38676	25.033944	0.15112600000000018	26.822528	23.469712	0.012464	29.950992000000006	26.598176	0.28978800000000005
80.0	lm0608_2	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	31.73957600000001	25.033944	0.15112600000000026	30.175344000000006	23.469712	0.028044000000000003	33.303808000000004	26.598176	0.274208
81.0	lm0620_1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1.564232	28.38676	0.1511260000000003	0.0	26.822528	0.015580000000000004	3.128464	29.950992000000006	0.28667200000000004
82.0	lm0629_1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	4.917047999999996	28.38676000000001	0.15112600000000015	3.352816	26.822528	0.015580000000000004	6.481280000000001	29.950992000000006	0.28667200000000004
83.0	lm0631_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.269863999999991	28.38676	0.1511260000000001	6.7056320000000005	26.822528	0.0062320000000000006	9.834096	29.950992000000006	0.29602
84.0	lm0683_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.622680000000004	28.38676	0.1511260000000001	10.058448	26.822528	0.015580000000000004	13.186912	29.950992000000006	0.28667200000000004
85.0	lm0686_1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	14.975496	28.38676	0.15112599999999998	13.411264	26.822528	0.021812	16.539728	29.950992000000006	0.28044
86.0	lm0787_1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18.328312	28.386759999999995	0.15112599999999987	16.76408	26.822528	0.021812	19.892544	29.950992000000006	0.28044
87.0	lm0788_1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	21.681128	28.38676	0.1511260000000001	20.116896	26.822528	0.015580000000000004	23.24536	29.950992000000006	0.28667200000000004
88.0	lm0791_1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	25.033944	28.386759999999995	0.1511260000000001	23.469712	26.822528	0.0031160000000000003	26.598176	29.950992000000006	0.299136
89.0	lm0827_1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	28.386759999999995	28.38676	0.1511260000000003	26.822528	26.822528	0.012464	29.950992000000006	29.950992000000006	0.28978800000000005
90.0	lm0832_1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	31.73957600000001	28.38676000000001	0.15112599999999998	30.175344000000006	26.822528	0.012464	33.303808000000004	29.950992000000006	0.28978800000000005
91.0	lm0862_1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1.564232	31.739576	0.15112600000000018	0.0	30.175344000000006	0.0062320000000000006	3.128464	33.303808000000004	0.29602
92.0	lm0891_1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	4.917047999999995	31.739576000000003	0.15112599999999976	3.352816	30.175344000000006	0.015580000000000004	6.481280000000001	33.303808000000004	0.28667200000000004
93.0	lm0972_1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	8.269863999999991	31.73957600000001	0.15112600000000004	6.7056320000000005	30.175344000000006	0.021812	9.834096	33.303808000000004	0.28044
94.0	lm0979_1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	11.62268	31.739576	0.15112599999999987	10.058448	30.175344000000006	0.015580000000000004	13.186912	33.303808000000004	0.28667200000000004
95.0	lm1002_1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	14.975496	31.739576	0.15112599999999993	13.411264	30.175344000000006	0.012464	16.539728	33.303808000000004	0.28978800000000005
96.0	lm1015_1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	18.328312	31.739576000000003	0.15112599999999987	16.76408	30.175344000000006	0.021812	19.892544	33.303808000000004	0.28044
97.0	lm1049_1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	21.681128	31.73957600000001	0.15112599999999995	20.116896	30.175344000000006	0.021812	23.24536	33.303808000000004	0.28044
